per quod,by which,"Used in legal documents in the same sense as ""whereby"". A per quod statement is typically used to show that specific acts had consequences which form the basis for the legal action."
per se,by itself,"Something that is, as a matter of law."
per stirpes,by branch,"An estate of a decedent is distributed per stirpes, if each branch of the family is to receive an equal share of an estate."
periculum in mora,danger in delay,"A condition given to support requests for urgent action, such as a protective order or restraining order."
persona non grata,unwelcome person,A person who is officially considered unwelcome by a host country in which they are residing in a diplomatic capacity. The person is typically expelled to their home country.
posse comitatus,power of the county,"A body of armed citizens pressed into service by legal authority, to keep the peace or pursue a fugitive."
post mortem,after death,"Refers to an autopsy, or as a qualification as to when some event occurred."
post mortem auctoris,after the author's death,"Used in reference to intellectual property rights, which usually are based around the author's lifetime."
praetor peregrinus,magistrate of foreigners,The Roman praetor (magistrate) responsible for matters involving non-Romans.
prima facie,at first face,A matter that appears to be sufficiently based in the evidence as to be considered true.
prior tempore potior iure,"earlier in time, stronger in law","(1) A legal principle that older laws take precedence over newer ones. Another name for this principle is lex posterior. (2) (Scots law, civil law), usually translated as ""prior in time, superior in right"", the principle that someone who registers (a security interest) earlier therefore ranks higher than other creditors."
prius quam exaudias ne iudices,"Before you hear, do not judge.",
probatio vincit praesumptionem,Proof overcomes presumption.,
pro bono,for good,Professional work done for free.
pro bono publico,for the public good,
pro forma,as a matter of form,Things done as formalities.
pro hac vice,for this turn,"Refers to a lawyer who is allowed to participate (only) in a specific case, despite being in a jurisdiction in which he has not been generally admitted."
pro per,"abbreviation of propria persona, meaning ""one's own person""","Representing oneself, without counsel. Also known as pro se representation."
pro rata,from the rate,A calculation adjusted based on a proportional value relevant to the calculation. An example would be a tenant being charged a portion of a month's rent based on having lived there less than a full month. The amount charged would be proportional to the time occupied.
pro se,for himself,"Representing oneself, without counsel. Also known as pro per representation."
pro tanto,for so much,"A partial payment of an award or claim, based on the defendant's ability to pay."
pro tem,"abbreviation of pro tempore, meaning ""for the time being""","Something, such as an office held, that is temporary."
pro tempore,for the time being,"Something, such as an office held, that is temporary."
propria persona,proper person,Refers to one representing themselves without the services of a lawyer. Also known as pro per representation.
prout patet per recordum,as appears in the record,"Used to cite something that has already been admitted into the record. It was frequently used in pleadings, generally abbreviated ""prout &c."", to indicate that a fact was supported by documentary evidence. Failure to use this phrase correctly could be a fatal defect and so cause a case to fail.[6]"
qua,which; as,In the capacity of.
quaeritur,It is sought.,The question is raised. Used to declare that a question is being asked in the following verbiage.
quaere,query,Used in legal drafts to call attention to some uncertainty or inconsistency in the material being cited.
quantum,how much,
quantum meruit,as much as it deserves; as much as she or he has earned[3],"In contract law, a quasi-contractual remedy that permits partial reasonable payment for an incomplete piece of work (services and/or materials), assessed proportionately, where no price is established when the request is made.[3]"
"In contract law, and in particular the requirement for consideration, if no fixed price is agreed upon for the service and/or materials, then one party would request a reasonable price for the said services and/or materials at the end of the job. A common example would be a plumber requested to fix a leak in the middle of the night.[3]",,
,,
quantum valebant,as much as they were worth,"Under Common Law, a remedy to compute reasonable damages when a contract has been breached Ð the implied promise of payment of a reasonable price for goods."
"In contract law, for requirements of consideration, reasonable worth for goods delivered.",,
"Usage: quantum meruit has replaced quantum valebant in consideration;[3] in the case of contract remedy, quantum valebant is being used less, and could be considered obsolete.",,
quasi,as if,"Resembling or being similar to something, without actually being that thing."
qui facit per alium facit per se,"who acts through another, acts himself","One who delegates a task to another, takes full responsibility for the performance of that act as if he himself had done it. Basis for the law of agency."
qui tam,"abbreviation of qui tam pro domino rege quam pro se ipso in hac parte sequitur, meaning ""who pursues in this action as much for the king as himself"".","In a qui tam action, one who assists the prosecution of a case is entitled to a proportion of any fines or penalties assessed."
quid pro quo,this for that,"An equal exchange of goods or services, or of money (or other consideration of equal value) for some goods or services."
quo ante,as before,Returning to a specific state of affairs which preceded some defined action.
quo warranto,by what warrant,"A request made to someone exercising some power, to show by what legal right they are exercising that power. A type of writ."
quoad hoc,as to this,"Used to mean ""with respect to"" some named thing, such as when stating what the law is in regards to that named thing."
quod est necessarium est licitum,What is necessary is lawful.,
R,Rex or Regina,"King or Queen. In British cases, will see R v Freeman meaning Regina against Freeman. Changes with King or Queen on throne at time."
ratio decidendi,reason for the decision,"The point in a legal proceeding, or the legal precedent so involved, which led to the final decision being what it was."
ratio scripta,written reason,"The popular opinion of Roman law, held by those in the Medieval period."
rationae soli,by reason of the soil,Certain rights may arise by virtue of ownership of the soil upon which wild animals are found.[2]
rebus sic stantibus,things thus standing,"A qualification in a treaty or contract, that allows for nullification in the event fundamental circumstances change."
reddendo singula singulis,referring solely to the last,"The canon of construction that in a list of items containing a qualifying phrase at the end, the qualifier refers only to the last item in the list."
res,"thing, matter, issue, affair",
res communis,common to all,"Property constructs like airspace and water rights are said to be res communis Ð that is, a thing common to all, and that could not be the subject of ownership. With airspace, the difficulty has been to identify where the fee simple holder's rights to the heavens end. Water is a bit more defined Ð it is common until captured.[2]"
res gestae,things done,"Differing meaning depending on what type of law is involved. May refer to the complete act of a felony, from start to finish, or may refer to statements given that may be exempt from hearsay rules."
res ipsa loquitur,The thing speaks for itself.,"used in tort law when there is no proof of what caused the harm, but it is most likely only the thing that could have caused the harm."
res judicata,a matter judged,"A matter that has been finally adjudicated, meaning no further appeals or legal actions by the involved parties is now possible."
res nullius,nobody's thing,Ownerless property or goods. Such property or goods are able and subject to being owned by anybody.
res publica,public affair,All things subject to concern by the citizenry. The root of the word republic.
res publica christiana,Christian public affair,All things of concern to the worldwide body of Christianity.
respondeat superior,Let the master answer.,A concept that the master (e.g. employer) is responsible for the actions of his subordinates (e.g. employees).
restitutio in integrum,total reinstatement,"(1) Restoration of something, such as a building or damaged property, to its original condition."
"(2) In contract law, when considering breach of contract and remedies, to restore a party to an original position.[3]",,
rex non potest peccare,The king can do no wrong.,Used to describe the basis for sovereign immunity.
salus populi suprema lex esto,The good of the people shall be the supreme law.,"Used variously as a motto, a reminder, or a notion of how the law and governments in general should be."
scandalum magnatum,scandal of the magnates,Defamation against a peer in British law. Now repealed as a specific offense.
scienter,knowingly,Used when offenses or torts were committed with the full awareness of the one so committing.
scire facias,Let them know.,"A writ, directing local officials to officially inform a party of official proceedings concerning them."
scire feci,I have made known.,"The official response of the official serving a writ of scire facias, informing the court that the writ has been properly delivered."
Secundum formam statuti,According to the form of the statute.,
se defendendo,self-defense,"The act of defending one's own person or property, or the well-being or property of another."
seriatim,in series,"Describes the process in which the court hears assorted matters in a specific order. Also refers to an occasion where a multiple-judge panel will issue individual opinions from the members, rather than a single ruling from the entire panel."
sic utere tuo ut alienum non laedas,Use your property so as not to injure that of your neighbours.,"While an individual is entitled to the use and enjoyment of one's estate, the right is not without limits. Restrictions can give rise to tort actions include trespass, negligence, strict liability, and nuisance.[2]"
sine die,without day,Used when the court is adjourning without specifying a date to re-convene. See also adjournment sine die.
sine qua non,"without which, nothing","Refers to some essential event or action, without which there can be no specified consequence."
situs,the place,"Used to refer to laws specific to the location where specific property exists, or where an offense or tort was committed."
solutio indebiti,performance of something not due,"Undue performance or payment, obliging the enrichee (accipiens) to return the undue payment or compensate the impoverishee (solvens) for the undue performance"
stare decisis,to stand by [things] decided,The obligation of a judge to stand by a prior precedent.
status quo,,
status quo ante ,,
statu quo,the state in which,"In contract law, in a case of innocent representation, the injured party is entitled to be replaced in statu quo. Note the common usage is status quo from the Latin status quo ante, the ""state in which before"" or ""the state of affairs that existed previously.""[3]"
stratum,"a covering, from neuter past participle of sternere, to spread","1) In property law, condominiums has said to occupy stratum many stories about the ground.[2]"
"2) Stratum can also be a societial level made up of individuals with similar status of social, cultural or economic nature.",,
"3) Stratum can refer to classification in an organized system along the lines of layers, levels, divisions, or similar grouping.",,
sua sponte,of its own accord,"Some action taken by the public prosecutor or another official body, without the prompting of a plaintiff or another party. (compare ex proprio motu, ex mero motu which are used for courts)."
sub judice,under the judge,Refers to a matter currently being considered by the court.
sub modo,subject to modification,Term in contract law that allows limited modifications to a contract after the original form has been agreed to by all parties.
sub nomine,under the name,"Abbreviated sub nom.; used in case citations to indicate that the official name of a case changed during the proceedings, usually after appeal (e.g., rev'd sub nom. and aff'd sub nom.)"
sub silentio,under silence,"A ruling, order, or other court action made without specifically stating the ruling, order, or action. The effect of the ruling or action is implied by related and subsequent actions, but not specifically stated."
subpoena,under penalty,"A writ compelling testimony, the production of evidence, or some other action, under penalty for failure to do so."
subpoena ad testificandum,under penalty to be witnessed,An order compelling an entity to give oral testimony in a legal matter.
subpoena duces tecum,bring with you under penalty,An order compelling an entity to produce physical evidence or witness in a legal matter.
suggestio falsi,false suggestion,A false statement made in the negotiation of a contract.
sui generis,of its own kind/genus,Something that is unique amongst a group.
sui juris,of his own right,Refers to one legally competent to manage his own affairs. Also spelled sui iuris.
suo motu,of its own motion,"Refers to a court or other official agency taking some action on its own accord (synonyms: ex proprio motu, ex mero motu). Similar to sua sponte."
supersedeas,refrain from,"A bond tendered by an appellant as surety to the court, requesting a delay of payment for awards or damages granted, pending the outcome of the appeal."
suppressio veri,suppression of the truth,"Willful concealment of the truth when bound to reveal it, such as withholding details of damage from an auto accident from a prospective buyer of the car in that accident."
supra,above,Used in citations to refer to a previously cited source.
tantum et tale,thus and such,"(Scots law) ""as is"", to disclaim implied warranties, as in to purchase or convey something tantum et tale."
terra nullius,no one's land,"Land that has never been part of a sovereign state, or land which a sovereign state has relinquished claim to."
trial de novo,trial anew,"A completely new trial of a matter previously judged. It specifically refers to a replacement trial for the previous one, and not an appeal of the previous decision."
trinoda necessitas,three-knotted need,"Refers to a threefold tax levied on Anglo-Saxon citizens to cover roads, buildings, and the military."
uberrima fides,most abundant faith,Concept in contract law specifying that all parties must act with the utmost good faith.
ultra posse nemo obligatur,No one is obligated (to do) more than he can.,"Specifies that one should do what he can to support the community, but since everyone has different levels of ability, it cannot be expected that all will perform the same."
ultra vires,beyond the powers,"An act that requires legal authority to perform, but which is done without obtaining that authority."
universitas personarum,totality of people,"Aggregate of people, body corporate, as in a college, corporation, or state"
universitas rerum,totality of things,Aggregate of things.
uno flatu,in one breath,"Used to criticize inconsistencies in speech or testimony, as in: one says one thing, and in the same breath, says another contradictory thing."
uti possidetis,as you possess,"Ancient concept regarding conflicts, wherein all property possessed by the parties at the conclusion of the conflict shall remain owned by those parties unless treaties to the contrary are enacted."
uxor,wife,Used in documents in place of the wife's name. Usually abbreviated et ux.
vel non,or not,Used when considering whether some event or situation is either present or it is not.
veto,I forbid.,"The power of an executive to prevent an action, especially the enactment of legislation."
vice versa,the other way around,Something that is the same either way.
vide,see,Used in citations to refer the reader to another location.
videlicet,"contraction of videre licet, meaning ""it is permitted to see""","Used in documents to mean ""namely"" or ""that is"". Usually abbreviated viz."
vinculum juris,the chains of the law,Something which is legally binding.
vis major,greater or superior force,"Force majeure, specifically events over which no humans have control, and so cannot be held responsible. Equivalent to an ""Act of God"". Compare casus fortuitus (see above)."
viz.,abbreviation of videlicet,Namely.
volenti non fit injuria,Injury is not done to the willing.,"Notion that a person cannot bring a claim against another for injury, if said person willingly placed themselves in a situation where they knew injury could result."
vigilantibus non dormientibus aequitas subvenit,"Equity aids the vigilant, not the sleeping.","Concept that if an opposing party unreasonably delays bringing an action, that it is no longer considered just to hear their claim, due to fundamental changes in circumstance brought upon by their delay."
